,ts,id,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,fileid,event
0,2023-02-20T03:10:53.000000,7396779155,444.2438,203.6384,73.2026,108.1801,550.2669,932.1410,850.7522,836.8547,675.9420,636.5090,-1257.3266,619.9737,315.6620,1029.9119,797.9601,965.1909,366.0000,-0.0043,0.0095,0.0159,0.0222,0.0287,-1000000.0000,-1000000.0000,-0.9500,366.0000,1676860000.0000,214.0000,5.1637,3.7000,62018,none
1,2023-02-20T03:10:53.005000,7396779156,443.2857,203.5850,73.8339,108.0750,551.1068,932.8370,851.1659,837.9739,678.2290,637.3814,-1255.1693,620.0885,316.8934,1029.9510,798.6682,966.0798,366.0000,0.0028,0.0134,0.0219,0.0278,0.0302,-1000000.0000,-1000000.0000,-0.9500,366.0000,1676860000.0000,214.0028,6.9402,3.7001,62018,none
2,2023-02-20T03:10:53.010000,7396779157,444.8352,204.5821,73.4535,108.9261,551.2075,931.0570,850.2423,839.0176,676.9563,635.6998,-1255.8116,620.3804,315.8887,1029.9617,798.6456,965.1578,366.0000,0.0111,0.0165,0.0230,0.0280,0.0419,-1000000.0000,-1000000.0000,-0.9500,366.0000,1676860000.0000,214.0057,6.7317,3.7003,62018,none
3,2023-02-20T03:10:53.015000,7396779158,445.1033,204.5524,75.1420,108.8363,549.9901,932.1227,850.2407,837.4946,677.2934,635.9145,-1256.1290,619.8753,316.6349,1030.2552,799.3396,965.7786,366.0000,0.0155,0.0051,0.0254,0.0360,0.0438,-1000000.0000,-1000000.0000,-0.9500,366.0000,1676860000.0000,214.0085,5.3254,3.7004,62018,none
4,2023-02-20T03:10:53.020000,7396779159,442.9044,203.3414,74.6091,106.0766,550.6204,933.1286,851.6111,837.4600,677.6921,636.2981,-1255.7354,620.1227,316.3649,1030.1406,799.5486,966.2699,366.0000,0.0061,0.0194,0.0292,0.0265,0.0333,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0113,7.0977,3.7005,62018,none
5,2023-02-20T03:10:53.025000,7396779160,443.5356,205.4755,73.3313,109.0135,549.0861,932.6298,850.9711,837.7820,676.5351,636.8103,-1254.5932,620.2932,316.6129,1029.6690,798.7204,966.2398,366.0000,0.0112,0.0202,0.0305,0.0395,0.0402,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0141,5.7412,3.7006,62018,none
6,2023-02-20T03:10:53.030000,7396779161,444.7889,204.6113,73.4323,107.8839,550.7660,933.8605,850.5247,837.1603,678.0125,636.7643,-1254.7283,620.4280,316.7611,1031.3767,800.5673,967.2682,366.0000,0.0139,0.0231,0.0404,0.0417,0.0500,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0170,6.6099,3.7008,62018,none
7,2023-02-20T03:10:53.035000,7396779162,444.5397,203.9040,74.1685,107.6553,550.1575,931.5320,852.5650,838.4047,677.4570,637.2762,-1255.3096,620.5441,316.4362,1031.2057,799.6651,966.2025,366.0000,0.0241,0.0254,0.0368,0.0382,0.0490,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0198,6.7977,3.7009,62018,none
8,2023-02-20T03:10:53.040000,7396779163,444.8815,205.8460,73.2246,108.7442,550.7459,931.5430,851.3896,838.2479,678.1299,635.9948,-1256.0163,619.1023,315.9113,1032.3963,801.0969,964.9190,366.0000,0.0186,0.0315,0.0349,0.0427,0.0473,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0226,6.1041,3.7010,62018,none
9,2023-02-20T03:10:53.045000,7396779164,444.3105,205.4935,74.9260,109.3217,549.6447,933.6087,852.9128,837.6566,677.5305,637.3105,-1255.8619,621.0711,317.6059,1031.2886,800.1858,965.6444,366.0000,0.0233,0.0298,0.0302,0.0502,0.0523,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0254,7.0279,3.7011,62018,none
10,2023-02-20T03:10:53.050000,7396779165,445.7897,204.0746,74.3755,107.7736,551.4101,933.7789,852.1090,838.8079,676.8277,636.4924,-1254.3114,620.6642,318.3610,1030.7526,800.1415,967.0720,366.0000,0.0219,0.0280,0.0372,0.0502,0.0401,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0283,6.1847,3.7013,62018,none
11,2023-02-20T03:10:53.055000,7396779166,445.7965,206.5960,74.3794,109.7379,549.8170,933.0197,852.4101,838.1895,677.8324,637.0596,-1255.8479,619.6808,318.5016,1030.6731,799.7815,966.7048,366.0000,0.0180,0.0249,0.0355,0.0410,0.0429,-1000000.0000,-1000000.0000,-0.9499,366.0000,1676860000.0000,214.0311,6.5710,3.7014,62018,none
12,2023-02-20T03:10:53.060000,7396779167,445.3096,205.7838,74.8063,109.8674,551.3754,933.5771,852.0876,837.4807,678.7694,638.6232,-1254.8378,620.9767,316.8141,1031.2946,800.7486,966.2674,366.0000,0.0164,0.0356,0.0347,0.0446,0.0465,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0339,6.0807,3.7015,62018,none
13,2023-02-20T03:10:53.065000,7396779168,446.2351,205.3251,75.7115,109.3708,550.3521,933.9294,850.2091,838.6145,678.6485,636.2147,-1252.5219,621.0285,316.7467,1031.7756,800.3601,968.9000,366.0000,0.0201,0.0273,0.0401,0.0330,0.0373,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0368,4.8054,3.7016,62018,none
14,2023-02-20T03:10:53.070000,7396779169,445.7775,206.6756,74.5402,108.7094,550.7237,932.7524,851.4940,838.5930,678.4282,637.1799,-1254.2289,622.4236,316.9600,1031.2077,801.0902,968.0665,366.0000,0.0286,0.0284,0.0350,0.0363,0.0391,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0396,6.2012,3.7018,62018,none
15,2023-02-20T03:10:53.075000,7396779170,444.7796,205.5944,74.3766,108.6835,552.3908,932.9015,852.3664,839.2353,679.1855,636.4473,-1253.9392,621.0356,317.3263,1030.2908,801.7507,967.4203,366.0000,0.0220,0.0355,0.0257,0.0360,0.0274,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0424,5.6011,3.7019,62018,none
16,2023-02-20T03:10:53.080000,7396779171,445.8186,205.5012,75.7306,110.3444,551.9940,933.6754,852.8154,839.1889,678.3608,637.6461,-1255.3252,622.0579,317.4817,1030.9324,799.9422,967.7103,366.0000,0.0237,0.0242,0.0332,0.0391,0.0249,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0452,7.4138,3.7020,62018,none
17,2023-02-20T03:10:53.085000,7396779172,444.8060,205.0449,75.3472,108.3641,552.4925,934.2964,851.1414,838.4857,678.6181,638.4117,-1255.4087,622.6794,316.7748,1031.5875,801.0639,967.3610,366.0000,0.0154,0.0239,0.0215,0.0341,0.0153,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0481,5.2087,3.7021,62018,none
18,2023-02-20T03:10:53.090000,7396779173,446.3180,206.0807,74.3584,110.4668,552.8630,932.6824,852.5723,838.2375,678.2314,637.7509,-1253.7481,621.1128,316.4314,1032.2074,801.0833,966.6122,366.0000,0.0176,0.0240,0.0285,0.0258,0.0092,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0509,7.2800,3.7023,62018,none
19,2023-02-20T03:10:53.095000,7396779174,445.6098,206.0310,74.6539,109.5176,551.0315,933.4914,851.7519,838.6512,679.4151,637.5564,-1254.5761,621.6118,317.6897,1030.4611,801.0163,968.4743,366.0000,0.0199,0.0156,0.0209,0.0168,0.0131,-1000000.0000,-1000000.0000,-0.9498,366.0000,1676860000.0000,214.0537,6.1570,3.7024,62018,none
20,2023-02-20T03:10:53.100000,7396779175,445.5287,205.6884,74.8329,109.6000,552.8758,933.4812,852.8643,838.9673,678.9099,638.7394,-1253.3845,623.0596,314.8523,1031.8887,800.3301,968.3577,366.0000,0.0132,0.0134,0.0205,0.0239,0.0134,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0565,6.6250,3.7025,62018,none
21,2023-02-20T03:10:53.105000,7396779176,445.1510,205.0638,74.9852,108.3293,550.5233,934.0301,852.6802,839.0827,678.2502,637.9601,-1254.1897,621.8789,317.6152,1031.8726,800.3654,966.1139,366.0000,0.0151,0.0160,0.0173,0.0121,0.0058,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0594,5.1961,3.7026,62018,none
22,2023-02-20T03:10:53.110000,7396779177,446.6851,205.8110,73.6218,109.5897,552.3039,933.7001,853.3018,838.9482,677.5158,638.3627,-1251.4479,622.0060,316.9512,1031.3458,800.2399,967.8882,366.0000,0.0116,0.0143,0.0142,0.0124,0.0084,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0622,6.0530,3.7028,62018,none
23,2023-02-20T03:10:53.115000,7396779178,445.5869,205.6547,73.4765,110.2014,551.3158,933.2738,853.5640,838.6379,679.5945,638.2827,-1254.6674,621.3847,318.3346,1031.2410,800.2275,967.9800,366.0000,0.0158,0.0147,0.0132,0.0063,-0.0041,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0650,5.7683,3.7029,62018,none
24,2023-02-20T03:10:53.120000,7396779179,445.3635,204.6394,73.9963,108.6370,550.9619,934.7050,853.0734,839.5036,678.1109,635.4052,-1253.9825,622.2558,318.5443,1031.1171,800.0341,967.4488,366.0000,0.0136,0.0092,0.0103,0.0134,-0.0172,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0679,7.9826,3.7030,62018,none
25,2023-02-20T03:10:53.125000,7396779180,445.4124,204.5167,73.9223,110.0930,552.1857,933.2627,853.3824,838.1547,678.7518,637.6328,-1254.9412,621.6624,318.5511,1031.8068,800.6105,969.3719,366.0000,0.0137,0.0129,0.0157,-0.0019,-0.0073,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0707,5.7485,3.7031,62018,none
26,2023-02-20T03:10:53.130000,7396779181,446.1003,206.1266,74.1594,109.7457,552.4304,933.4408,852.3942,840.6580,680.5565,636.8120,-1253.4199,620.2088,317.3973,1032.5759,800.0682,969.2654,366.0000,0.0137,0.0024,0.0070,0.0030,-0.0179,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0735,7.2227,3.7033,62018,none
27,2023-02-20T03:10:53.135000,7396779182,445.9397,203.5658,75.1551,109.1323,552.3795,932.3741,854.9058,839.2578,679.2885,636.9839,-1253.9203,621.3631,316.7392,1032.6055,800.9958,967.3453,366.0000,0.0099,0.0089,0.0055,-0.0039,-0.0139,-1000000.0000,-1000000.0000,-0.9497,366.0000,1676860000.0000,214.0763,7.2339,3.7034,62018,none
28,2023-02-20T03:10:53.140000,7396779183,445.9431,205.7772,74.4778,110.2967,551.7848,933.0420,851.6379,837.7109,679.9018,638.7926,-1255.0760,620.6664,316.9612,1030.7137,800.6585,967.4347,366.0000,0.0134,0.0097,0.0002,-0.0026,-0.0290,-1000000.0000,-1000000.0000,-0.9496,366.0000,1676860000.0000,214.0792,7.2114,3.7035,62018,none
29,2023-02-20T03:10:53.145000,7396779184,445.9161,205.1890,74.7286,107.8097,551.6770,933.9843,852.1493,838.7197,678.1410,637.2716,-1254.6024,621.6613,317.8016,1031.4219,800.7068,967.2993,366.0000,0.0084,0.0090,0.0038,0.0011,-0.0198,-1000000.0000,-1000000.0000,-0.9496,366.0000,1676860000.0000,214.0820,5.8249,3.7036,62018,none
30,2023-02-20T03:10:53.150000,7396779185,447.2366,206.5699,73.5438,109.8006,551.9448,933.7797,853.2443,839.1414,679.3800,639.0373,-1253.2993,620.7898,316.2066,1029.7685,800.3045,967.0342,366.0000,0.0121,0.0068,-0.0029,-0.0174,-0.0157,-1000000.0000,-1000000.0000,-0.9496,366.0000,1676860000.0000,214.0848,7.7439,3.7038,62018,none
31,2023-02-20T03:10:53.155000,7396779186,445.1434,205.0738,74.0993,110.7641,551.7116,933.9482,853.0707,838.1891,678.4899,636.3424,-1253.4501,621.8511,318.5834,1031.5559,800.5237,966.7320,366.0000,0.0044,0.0048,0.0057,-0.0088,-0.0171,-1000000.0000,-1000000.0000,-0.9496,366.0000,1676860000.0000,214.0876,7.9097,3.7039,62018,none
32,2023-02-20T03:10:53.160000,7396779187,444.9979,205.9353,74.8775,110.5597,551.8408,933.8485,852.7976,837.2116,678.7005,636.5408,-1255.6438,621.4435,317.1432,1031.8859,800.2099,967.8132,366.0000,0.0083,0.0064,-0.0057,-0.0133,-0.0220,-1000000.0000,-1000000.0000,-0.9496,366.0000,1676860000.0000,214.0905,6.5937,3.7040,62018,none
